DATE,SALES PER DAY
2010-02-01,9841.642857
2010-03-01,10364.67742
2010-04-01,10564.66667
2010-05-01,10478.06452
2010-06-01,10639.43333
2010-07-01,10352.09677
2010-08-01,10397.3871
2010-09-01,10254.6
2010-10-01,10163.19355
2010-11-01,10946.03333
2010-12-01,12479.93548
2011-01-01,9633.096774
2011-02-01,10711.42857
2011-03-01,11130.70968
2011-04-01,11300.46667
2011-05-01,11257.3871
2011-06-01,11554
2011-07-01,11012.29032
2011-08-01,11362.06452
2011-09-01,11121.4
2011-10-01,10873.12903
2011-11-01,11717.23333
2011-12-01,13190.64516
2012-01-01,10178.70968
2012-02-01,11430
2012-03-01,11887.16129
2012-04-01,11639.8
2012-05-01,12036.41935
2012-06-01,11869.43333
2012-07-01,11339.35484
2012-08-01,12031.80645
2012-09-01,11419.4
2012-10-01,11478.16129
2012-11-01,12286.43333
2012-12-01,13445.3871
2013-01-01,10764.35484
2013-02-01,11874.5
2013-03-01,12070.03226
2013-04-01,12098.8
2013-05-01,12570.35484
2013-06-01,12310.53333
2013-07-01,12160.45161
2013-08-01,12523.45161
2013-09-01,11756
2013-10-01,11928.16129
2013-11-01,12622.86667
2013-12-01,13889.83871
2014-01-01,10983.09677
2014-02-01,12052.89286
2014-03-01,12373.12903
2014-04-01,12793.86667
2014-05-01,13170.58065
2014-06-01,12849.4
2014-07-01,12732.25806
2014-08-01,12950
2014-09-01,12480.03333
2014-10-01,12528.74194
2014-11-01,13050.06667
2014-12-01,14551.51613
2015-01-01,11300.12903
2015-02-01,12209.14286
2015-03-01,12680.96774
2015-04-01,12912.5
2015-05-01,13209.09677
2015-06-01,13260.7
2015-07-01,13114.64516
2015-08-01,13061.93548
2015-09-01,12733.06667
2015-10-01,12664.64516
2015-11-01,13201.93333
2015-12-01,14968.87097
2016-01-01,11347.48387
2016-02-01,12535.41379
2016-03-01,13064.3871
2016-04-01,13158.1
2016-05-01,13323.74194
2016-06-01,13669.03333
2016-07-01,13095.64516
2016-08-01,13435.12903
2016-09-01,13140
2016-10-01,12819.16129
2016-11-01,13796.7
2016-12-01,15548.45161
2017-01-01,11905.83871
2017-02-01,13056.85714
2017-03-01,13645.22581
2017-04-01,13574.66667
2017-05-01,14016.32258
2017-06-01,14102.2
2017-07-01,13448.58065
2017-08-01,13929.16129
2017-09-01,13751.53333
2017-10-01,13476.54839
2017-11-01,14731.1
2017-12-01,16024.67742
